Virginia Department Of Education,,,,,,,,
State Fiscal Stabilization Fund Indicator (C)(12) Report,,,,,,,,
2015 FGI cohort year (students entering high school in  2011),,,,,,,,
,,,Students that earned a federally recognized diploma and enrolled in a public Institution of Higher Education (IHE) and/or private non-profit..,,,,,
,,,Total number of students in cohort who graduated from high school with a federally recognized diploma and enrolled in a public IHE and/or private non-profit IHE in..,Dual enrollment credits included in total count of credit....,,,Dual enrollment credits excluded in total count of credit....,
,,,,Earned one year of college credit within two years of enrollment  ,,,Earned one year of college credit within two years of enrollment  ,
Division Name,School Name,SUBGROUP,Number,Number,Percent,,Number,Percent
Accomack County (001),Arcadia High (0540),All Students,53,31,58,,25,47
Accomack County (001),Arcadia High (0540),Female,38,21,55,,17,45
Accomack County (001),Arcadia High (0540),Male,15,10,67,,8,53
Accomack County (001),Arcadia High (0540),Asian,<,<,<,,<,<
Accomack County (001),Arcadia High (0540),Black,14,6,43,,5,36
Accomack County (001),Arcadia High (0540),Hispanic,14,9,64,,5,36
Accomack County (001),Arcadia High (0540),White,20,12,60,,11,55
Accomack County (001),Arcadia High (0540),2 or More,<,<,<,,<,<
Accomack County (001),Arcadia High (0540),Economically Disadvantaged,35,21,60,,16,46
Accomack County (001),Chincoteague High (0580),All Students,14,8,57,,7,50
Accomack County (001),Chincoteague High (0580),Female,<,<,<,,<,<
Accomack County (001),Chincoteague High (0580),Male,<,<,<,,<,<
Accomack County (001),Chincoteague High (0580),Black,<,<,<,,<,<
Accomack County (001),Chincoteague High (0580),White,12,7,58,,7,58
Accomack County (001),Chincoteague High (0580),Economically Disadvantaged,<,<,<,,<,<
Accomack County (001),Nandua High (0070),All Students,72,48,67,,44,61
Accomack County (001),Nandua High (0070),Female,42,30,71,,28,67
Accomack County (001),Nandua High (0070),Male,30,18,60,,16,53
Accomack County (001),Nandua High (0070),Black,24,13,54,,12,50
Accomack County (001),Nandua High (0070),Hispanic,<,<,<,,<,<
Accomack County (001),Nandua High (0070),White,39,28,72,,26,67
